SMILES,Solubility
CC1=C(C2=CC=C(C=C2)[S](N)(=O)=O)C(=NO1)C3=CC=CC=C3,-4.52
Cc1cc(N[S](=O)(=O)c2ccc(N)cc2)sn1,-1.0762
O=C1CCCCCN1,0.8601209136
Oc1ccc(cc1[N+]([O-])=O)c2ccccc2,-4.4101
Clc1ccccc1Oc2ccccc2,-4.7796
Clc1ccc(NC(=O)CBr)c(c1)C(=O)c2ccccc2Cl,-6.8888082879
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863
C1CN(CCO1)C(c2ccccc2)(c3ccccc3)c4ccccc4,-7.2168
CC(=O)N[C@@H](CSc1ccc(Cl)c(Cl)c1)C(O)=O,-2.8868
C(CNCc1ccccc1)NCc2ccccc2,-1.7865
Clc1ccc(cc1)c2ccc(Cl)cc2,-6.5561
NC1=C(Br)C(=O)N(N=C1)c2ccccc2,-3.124
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.3572
S=C=NCCc1ccccc1,-3.1714
CCO[P](=O)(OCC)C(Cl)(Cl)Cl,-1.7541
CC(=O)OC1=CC=CC=C1C(=O)OCC(N)=O,-1.79
Cn1c2ccccc2c(C(N)=O)c1C(N)=O,-1.8184
Ic1ccc(I)cc1,-5.3723
CC12CCC(=O)C=C1CCC3C4CCC(O)(C(=O)CO)C4(C)CC(=O)C23,-3.11
CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12,-6.1033
CNC(=O)Oc1cccc(c1)C(C)C,-3.3567
CC(C)(CF)N1C=C(C(=O)O)C(=O)C2=C1C=C(N1CCNCC1)C(F)=C2,-2.6
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176
CCOc1ccc(C(O)=O)c2ccccc12,-4.1122
OC(=O)c1cncc(c1)C(O)=O,-2.2230000000000003
CCC(C)C(O)C(C)CC,-2.5108
CCC(C)C\C(CC)=N\O,-2.1307281267
CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CC3=CC=CS3)C2=O)C(O)=O,-2.94
Cc1ccc(Cl)cc1Cl,-3.8089694812
CC(C)([S](C)(=O)=O)[S](C)(=O)=O,-1.4504
C[C@H](NC(N)=O)C(O)=O,-0.7845
CN1N=C(SC1=N[S](=O)(=O)CC2=CC=CC=C2)[S](N)(=O)=O,-2.48
CN1C=CC(=O)NC1=O,-0.7998
CN1C(=O)N(C)c2nc(C)[nH]c2C1=O,-0.7276
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,-2.9008
